Comment,Designator,Footprint,LCSC Part #
0.47R,R9,R0402,
1.3M,R7,R0402,
1M,R6,R0402,
1N5819WS,D7,SOD323-R,
1TS003B-1600-3500A,RESET,1TS003B16003500A,
1k65,R5,R0402,
1uF,C3,C0402,
1uF,C7,C0603,
1uF,C8 C9 C10 C11 C12 C13 C14 C15 C16,C0402,
4 7uF,C5,C0603,C108344
4.7k,R20 R21,R0402,
4.7uF,C20,C0603,
5.1k,R15 R16,R0402,
5.76k,R25,R0402,
10k,R1 R2 R3 R8 R11 R17 R22,R0402,
10uF,C21,C0603,
10uH,L2,L1210,C86069
22uF,C4,C0603,
22uF,C18 C19,C0402,
22uF,C23 C24 C25 C26 C29,C0603,
47uF,C2,C0603,C178330
68uH,L1,SMNR4020,C135265
91k,R24,R0402,
100,R14,R0402,
100k,R12 R13 R19 R23,R0402,
100n,C22 C27 C28,C0402,
100nF,C1,C0603,
100nF,C6 C17,C0402,
330,R10,R0402,
AO3400,Q4 Q8,SOT23,
AO3401,Q5 Q7,SOT23,
AP2191WG-7,IC5 IC7,SOT25,C141321
AP3012,IC1,SOT95P280X135-5N,C460356
BAT60B,D1 D2 D3,SOD323-R,C514095
BLM18KG221SN1D,L3,R0603,C88980
BSS806NEH6327,Q3,SOT23,C91714
CH9102F,IC3,QFN24-4X4,
ESP32-WROOM,ESP32,ESP32WROOM32D,C529595
FEMALE_LOW_2X13,J1,FEMALE_LOW_2X13,
HT7833,LDO,SOT23-5,C164106
IRLML2244TRPBF,Q2,SOT23,C169763
JST-PH-2/90SMD,BATTERY,S2B-PH-SM4,C47647
JST-SH-4_RA,J2,1X04_1MM_RA,C145956
JST-SH-4_VERT,J3,1X04_1MM_RA_VERT,C371588
MBR0530,D4 D5 D6,SOD123-F,
ME6211C33M5G,IC2,SOT23-5,
MICRO_SD,SD_CARD,MICRO_SD,C91145
MMDT3904,Q1,SC70-6,C268586
RED,CHRG,CHIP-LED0603,C2286
SMD0805-050,F1 F2,0805L,C66452
SMF05C,IC4,SOT65P210X110-6N,C558425
SSSS811101,SW1,SSSS811101,
TP4054,U1,SOT-23-5,C32574
USB-C_2-16PIN,J4,USBC_USB-C-16P-5,C2837092
USUP_SPI_CONNECTOR_VERT,J5,1X06_1MM_RA_VERT,C145963
AFC24-S24FIC-00,DISPLAY,AFC24-S24FIC-00,C262292
AFC01-S06FCA-00,LED TOUCH,AFC01-S06FCA-00,C262655
